Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.8032e-05,0.0264
-1.8028e-05,-0.0744
-1.8024e-05,0.0544
-1.8020e-05,0.0184
-1.8016e-05,-0.0728
-1.8012e-05,0.064
-1.8008e-05,0.0008
-1.8004e-05,-0.0648
-1.8000e-05,0.0696
-1.7996e-05,-0.0088
-1.7992e-05,-0.0584
-1.7988e-05,0.072
-1.7984e-05,-0.0216
-1.7980e-05,-0.052
-1.7976e-05,0.0776
-1.7972e-05,-0.032
-1.7968e-05,-0.0416
-1.7964e-05,0.0776
-1.7960e-05,-0.0416
-1.7956e-05,-0.032
-1.7952e-05,0.0776
-1.7948e-05,-0.0496
-1.7944e-05,-0.0208
-1.7940e-05,0.0736
-1.7936e-05,-0.0568
-1.7932e-05,-0.008
-1.7928e-05,0.0696
-1.7924e-05,-0.0656
-1.7920e-05,0.0048
-1.7916e-05,0.0656
-1.7912e-05,-0.072
-1.7908e-05,0.0112
-1.7904e-05,0.0584
-1.7900e-05,-0.0736
-1.7896e-05,0.0264
-1.7892e-05,0.0456
-1.7888e-05,-0.076
-1.7884e-05,0.0368
-1.7880e-05,0.0416
-1.7876e-05,-0.076
-1.7872e-05,0.0472
-1.7868e-05,0.0288
-1.7864e-05,-0.0744
-1.7860e-05,0.0568
-1.7856e-05,0.016
-1.7852e-05,-0.0704
-1.7848e-05,0.064
-1.7844e-05,0.0016
-1.7840e-05,-0.0672
-1.7836e-05,0.0672
-1.7832e-05,-0.0072
-1.7828e-05,-0.0592
-1.7824e-05,0.0712
-1.7820e-05,-0.0184
-1.7816e-05,-0.0512
-1.7812e-05,0.0776
-1.7808e-05,-0.0272
-1.7804e-05,-0.044
-1.7800e-05,0.0768
-1.7796e-05,-0.04
-1.7792e-05,-0.0352
-1.7788e-05,0.0784
-1.7784e-05,-0.0456
-1.7780e-05,-0.0216
-1.7776e-05,0.076
-1.7772e-05,-0.0576
-1.7768e-05,-0.0088
-1.7764e-05,0.072
-1.7760e-05,-0.0656
-1.7756e-05,0
-1.7752e-05,0.0624
-1.7748e-05,-0.068
-1.7744e-05,0.0136
-1.7740e-05,0.0584
-1.7736e-05,-0.0736
-1.7732e-05,0.0248
-1.7728e-05,0.052
-1.7724e-05,-0.0776
-1.7720e-05,0.0352
-1.7716e-05,0.0432
-1.7712e-05,-0.0776
-1.7708e-05,0.044
-1.7704e-05,0.0288
-1.7700e-05,-0.0728
-1.7696e-05,0.052
-1.7692e-05,0.0168
-1.7688e-05,-0.0728
-1.7684e-05,0.0624
-1.7680e-05,0.0072
-1.7676e-05,-0.0696
-1.7672e-05,0.0664
-1.7668e-05,-0.0024
-1.7664e-05,-0.06
-1.7660e-05,0.0712
-1.7656e-05,-0.016
-1.7652e-05,-0.0536
-1.7648e-05,0.0768
-1.7644e-05,-0.0272
-1.7640e-05,-0.044
-1.7636e-05,0.0752
-1.7632e-05,-0.0344
-1.7628e-05,-0.0344
-1.7624e-05,0.0752
-1.7620e-05,-0.0456
-1.7616e-05,-0.0248
-1.7612e-05,0.0768
-1.7608e-05,-0.0568
-1.7604e-05,-0.0112
-1.7600e-05,0.0696
-1.7596e-05,-0.0656
-1.7592e-05,-0.0016
-1.7588e-05,0.0672
-1.7584e-05,-0.0688
-1.7580e-05,0.0112
-1.7576e-05,0.0576
-1.7572e-05,-0.0752
-1.7568e-05,0.0224
-1.7564e-05,0.0504
-1.7560e-05,-0.076
-1.7556e-05,0.0304
-1.7552e-05,0.0432
-1.7548e-05,-0.0776
-1.7544e-05,0.0456
-1.7540e-05,0.0296
-1.7536e-05,-0.076
-1.7532e-05,0.0544
-1.7528e-05,0.0192
-1.7524e-05,-0.0744
-1.7520e-05,0.0624
-1.7516e-05,0.008
-1.7512e-05,-0.0672
-1.7508e-05,0.0688
-1.7504e-05,-0.0032
-1.7500e-05,-0.0624
-1.7496e-05,0.0712
-1.7492e-05,-0.0144
-1.7488e-05,-0.0552
-1.7484e-05,0.0736
-1.7480e-05,-0.0256
-1.7476e-05,-0.0456
-1.7472e-05,0.076
-1.7468e-05,-0.0344
-1.7464e-05,-0.0336
-1.7460e-05,0.0808
-1.7456e-05,-0.0456
-1.7452e-05,-0.0248
-1.7448e-05,0.0736
-1.7444e-05,-0.0536
-1.7440e-05,-0.0144
-1.7436e-05,0.068
-1.7432e-05,-0.0624
-1.7428e-05,-0.0016
-1.7424e-05,0.0672
-1.7420e-05,-0.068
-1.7416e-05,0.0088
-1.7412e-05,0.0568
-1.7408e-05,-0.0704
-1.7404e-05,0.0208
-1.7400e-05,0.0512
-1.7396e-05,-0.076
-1.7392e-05,0.032
-1.7388e-05,0.0416
-1.7384e-05,-0.0768
-1.7380e-05,0.044
-1.7376e-05,0.0328
-1.7372e-05,-0.0736
-1.7368e-05,0.0512
-1.7364e-05,0.0248
-1.7360e-05,-0.0712
-1.7356e-05,0.0584
-1.7352e-05,0.0112
-1.7348e-05,-0.0688
-1.7344e-05,0.0688
-1.7340e-05,-0.0008
-1.7336e-05,-0.0624
-1.7332e-05,0.0704
-1.7328e-05,-0.0096
-1.7324e-05,-0.056
-1.7320e-05,0.076
-1.7316e-05,-0.0248
-1.7312e-05,-0.0504
-1.7308e-05,0.0768
-1.7304e-05,-0.036
-1.7300e-05,-0.0384
-1.7296e-05,0.0776
-1.7292e-05,-0.0448
-1.7288e-05,-0.028
-1.7284e-05,0.0792
-1.7280e-05,-0.0536
-1.7276e-05,-0.0128
-1.7272e-05,0.0744
-1.7268e-05,-0.0624
-1.7264e-05,-0.0064
-1.7260e-05,0.0672
-1.7256e-05,-0.068
-1.7252e-05,0.0088
-1.7248e-05,0.06
-1.7244e-05,-0.0704
-1.7240e-05,0.016
-1.7236e-05,0.0528
-1.7232e-05,-0.0744
-1.7228e-05,0.028
-1.7224e-05,0.0448
-1.7220e-05,-0.0736
-1.7216e-05,0.0432
-1.7212e-05,0.0328
-1.7208e-05,-0.076
-1.7204e-05,0.0512
