Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,1.63196e-06
Sample Interval,4e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.1
Label,
TIME,CH1
-1.80092e-05,-0.085
-1.80088e-05,-0.005
-1.80084e-05,0.087
-1.80080e-05,0.065
-1.80076e-05,-0.045
-1.80072e-05,-0.089
-1.80068e-05,-0.013
-1.80064e-05,0.081
-1.80060e-05,0.065
-1.80056e-05,-0.043
-1.80052e-05,-0.089
-1.80048e-05,-0.009
-1.80044e-05,0.089
-1.80040e-05,0.071
-1.80036e-05,-0.039
-1.80032e-05,-0.091
-1.80028e-05,-0.015
-1.80024e-05,0.081
-1.80020e-05,0.069
-1.80016e-05,-0.039
-1.80012e-05,-0.091
-1.80008e-05,-0.017
-1.80004e-05,0.081
-1.80000e-05,0.071
-1.79996e-05,-0.033
-1.79992e-05,-0.089
-1.79988e-05,-0.013
-1.79984e-05,0.083
-1.79980e-05,0.073
-1.79976e-05,-0.033
-1.79972e-05,-0.095
-1.79968e-05,-0.025
-1.79964e-05,0.075
-1.79960e-05,0.069
-1.79956e-05,-0.031
-1.79952e-05,-0.089
-1.79948e-05,-0.023
-1.79944e-05,0.079
-1.79940e-05,0.073
-1.79936e-05,-0.029
-1.79932e-05,-0.089
-1.79928e-05,-0.023
-1.79924e-05,0.077
-1.79920e-05,0.071
-1.79916e-05,-0.031
-1.79912e-05,-0.089
-1.79908e-05,-0.027
-1.79904e-05,0.075
-1.79900e-05,0.075
-1.79896e-05,-0.027
-1.79892e-05,-0.091
-1.79888e-05,-0.031
-1.79884e-05,0.073
-1.79880e-05,0.077
-1.79876e-05,-0.027
-1.79872e-05,-0.093
-1.79868e-05,-0.029
-1.79864e-05,0.071
-1.79860e-05,0.079
